thing,month,className,content,group,notes
1776,,CT,"Connecticut: 6,464 enslaved people (the largest number of any state in New England)",CT,"According to an estimate by Richardson in the journal Slavery and Abolition, South Carolina imported 93,000 enslaved people between 1706-1775. The economy’s dependence on  resources such as indigo, deerskins, and rice incentivized a high demand for enslaved labor according to professors from the University of Kansas. The Lowcountry Digital History Initiative from the College of Charleston states that before 1710, enslaved Africans arriving in the South Carolina Lowcountry were less than 300, and by 1770, more than 3,000 were imported annually. By 1780 South Carolina was the only state in which the Black population exceeded the white at 53.9% according to the University of Maryland; enslaved people in South Carolina  were united by their shared port of entry and the black majority, establishing bonds through shared languages, kinship, and nationality. Richardson, David. 1991. “The British Slave Trade to Colonial South Carolina.” Slavery and Abolition 12, no. 3 (Dec.), 125-72. Battle, Mary. “African Passages, Lowcountry Adaptations: Africans in Carolina.” Lowcountry Digital History Initiative. Lowcountry Digital Library at the College of Charleston, 2013."
1776,,USA,The Declaration of Independence is signed,USA,"On July 4th, 1776, the Declaration of Independence was finalized by the signing of white elite men. This event “fastened racial prejudice to the national identity” and clarified what it meant to be “American” at the time. While not explicitly stating it, the document excluded enslaved people, people of color, and Indigenous people, cementing the idea of white superiority in America. Parkinson, “27 Reasons For Independence” page 118."
1779,,CT,First enslaved persons petition General Assembly for the abolition of slavery in CT,CT,"Prince and Prime – enslaved African Americans from Connecticut – finished writing the Petition of 1779 on May 11, 1779. As reported by the Town of Fairfield, they together became the first enslaved people to petition the Connecticut General Assembly for the emancipation of all enslaved people in the state; prior to this petition, enslaved people had testified for only their own freedom. Venture Smith’s Colonial Connecticut states that Prince and Prime wrote this petition and presented it in Hartford, where it was ultimately denied by both houses. “Petition of 1779 by slaves of Fairfield County.” Hartford Web Publishing. Accessed November 30, 2022. http://www.hartford-hwp.com/archives/45a/021.html. “Slavery and Slave Owners in Fairfield.” Fairfield Connecticut. Accessed November 29, 2022. Slavery and Slave Owners in Fairfield - Town of Fairfield, Connecticut (fairfieldct.org) Venture Smith’s Colonial Connecticut. Accessed November 30, 2022. https://venturesmithcolonialct.org/library/petition-by-prince-and-prime-to-end-slavery-in-connecticut-1779/."
1780,3,USA,Gradual Abolition Act passed in Pennsylvania/first Abolition Act in America,USA,"According to Edward Raymond Turner, citizens of Philadelphia protested and fought the Legislature for freedom and independence at the beginning of the Revolutionary War. As this was a popular opinion throughout Pennsylvania, a bill was drafted to facilitate manumission. The Pennsylvania General Assembly passed this bill into law in 1780, making it the first act of abolition in America. This act influenced slavery laws in other states, ultimately leading to the abolition of slavery in the United States. Turner, Edward Raymond. “The Abolition of Slavery in Pennsylvania.” The Pennsylvania Magazine of History and Biography 36, no. 2 (1912): 129–42. http://www.jstor.org/stable/20085586"
1784,,CT,Connecticut passes Gradual Emancipation Act ,CT,"According to data compiled by Peter Hinks and published to a website called ConnecticutHistory.org, select northern states abolished slavery while others including Connecticut, in 1784, chose gradual emancipation. The Act issued on March 1st, 1784, declared that children born to enslaved women were “legally held in a transitional state between slavery and freedom” and gained full freedom when they turn 25 years old for men and 21 for women, it also required slaveholders to record the birth dates of the children. The Gradual Emancipation Act “levelled a devastating blow” to slavery and managed to diminish the number of enslaved people in Connecticut “slowly but steadily” over the following years. Peter Hinks, “Slave Population of Colonial Connecticut, 1690-1774,” Gilder Lehrman Center for the Study of Slavery, Resistance, and Abolition at Yale University, accessed November 16, 2022, https://glc.yale.edu/sites/default/files/files/Citizens%20All%20Doc2.pdf."
1789,,USA,The U.S. Constitution is ratified,USA,"In 1788, the United States Constitution was ratified and specifically outlined the three-fifth clause: that enslaved people should be counted as three fifths of a person. According to Slavery Constitution: From Revolution to Ratification by David Waldstreicher, the three-fifth clause balanced the enslaved people abundant Southern states’ advantage in the population proportioned representation in the House of Representatives and disadvantages in relation to taxation. Politicians like Connecticut delegate Roger Sherman supported this dehumanizing clause to balance Northern and Southern powers. Waldstreicher, David. 2010. Slavery’s Constitution : From Revolution to Ratification. New York: Hill And Wang. 82, 86."
1794,,CT,Connecticut legislature rejects bill that would have abolished slavery in the state in 1795,CT,"According to David Menschel’s article, “Abolition Without Deliverance”, Connecticut’s 1794 bill entitled “An Act for the Abolition of Slavery in this State, and to provide for the Education and Maintenance of such as shall be emancipated thereby,” failed and was rejected by the state's legislature. Menschel explains how the bill included language revealing the truth of the adverse effects slavery had on enslaved people, which was alarming to the legislature because they worried it would create conflict between the contradicting opinions of abolitionists and slaveholders, and they “sought to balance these interests”.  In other words, the 1784 bill “reflected the contingent nature of Connecticut’s support for abolition,” as the state’s gradual abolition laws didn’t necessarily mean that it supported antislavery. Menschel, David. “Abolition without Deliverance: The Law of Connecticut Slavery, 1784-1848.” The Yale Law Journal 111, no. 1  (October 2001): 183-222. https://www.jstor.org/stable/797518. "
1794,,USA,Eli Whitney patents the cotton gin,USA,"According to the National Archives and Records Administration, Eli Whitney received a patent for his cotton gin (completed in 1793) on March 14, 1794. Intended to reduce enslaved labor, the machine significantly simplified cotton production, raising cotton exportation by a staggering 180 times in merely two decades according to the contemporary Monthly Summary of Commerce and Finance of the United States. Ironically, this boosted demand for cotton, especially by New England textile mills, as stated in William K. Scarborough’s “The Cotton Gin and Its Bittersweet Harvest,” allowing the Southern plantation economy to prosper and persist, in turn prolonging slavery for another 70 years across the United States. “Monthly Summary of Commerce and Finance of the United States, Issues 1-3"". Monthly Summary of Commerce and Finance. U.S. Department of the Treasury. 1895–1896: 290. Scarborough, William K. “The Cotton Gin and Its Bittersweet Harvest.” The Journal of American History 81, no. 3 (1994): 1238–43. https://doi.org/10.2307/2081465. “Patent for Cotton Gin (1794).” National Archives and Records Administration, May 10, 2022, accessed December 1, 2022,  https://www.archives.gov/milestone-documents/patent-for-cotton-gin."
1808,,USA,Nationwide ban on importation of slaves,USA," Although January 1st, 1808 marked the end of legal importation of enslaved individuals into the United States, the internal slave trade remained active, as while importation had been banned, slavery itself was still legal. The importation ban made no effort in changing the perspectives of Americans towards slavery, as seen through the increase of domestic sales of enslaved individuals and the illegal importation of at least 50,000 more slaves to the United States after 1808. This dependance on the domestic slave trade provided the basis for 19th century southern slavery, and enabled the institution’s continued existence. Deyle, Steven. “An ‘Abominable’ New Trade: The Closing of the African Slave Trade and the Changing Patterns of U.S. Political Power, 1808-60.” The William and Mary Quarterly 66, no. 4 (2009): 833–50. http://www.jstor.org/stable/40467543. Glass, Andrew. ""Congress Votes to Ban Slave Importation, March 2, 1807."" Politico, March 2, 2018. Accessed November 30, 2022. https://www.politico.com/story/2018/03/02/congress-votes-to-ban-slave-importation-march-2-18 07-430820. "
1810,,CT,"Connecticut: 310 enslaved people, 6,500 free Blacks",CT,"According to the “Connecticut - Race and Hispanic Origin: 1790 to 1990” table compiled by Emily Lennon, there were approximately 310 slaves and 6,500 free Blacks in Connecticut in 1810. This data was compiled from the United States Census Bureau’s decennial censuses from 1790 to 1990 and was published on the internet on September 13th, 2002. Between the 1800 census and the 1810 census, the slave population decreased by about 600 people and the free Black population increased by about 1,000 people, indicating the Connecticut population was shifting away from the system of slavery and towards the emancipation of Black people. Lannon, Emily. ""Table 21. Connecticut - Race and Hispanic Origin: 1790 to 1990."" Table. September 13, 2002.https://www2.census.gov/library/working-papers/2002/demo/pop-twps0056/table21.pdf. "
1816,,USA,"Establishment of the American Colonization Society, a plan to send free Blacks ""back to Africa""",USA,"The American Colonization Society was first established in 1816 with the intention to send free black people back to Africa and provide them a space where they can experience their intrinsic rights without discrimination. As the founders of the Society believed that such action was a benevolent offer that will not only resolve the issue of the rising black population in America but also provide the long-desired freedom for black people, its wide acceptance during the time indicates a deep-rooted sense of racism and a continuation of colonialism. Many white abolitionists supported the Society as their goal was to remove the black population from America instead of removing slavery, while the black abolitionists reacted to it with hate and disdain. Henry Noble Sherwood, “The Formation of the American Colonization Society,” The Journal of Negro History 2, no. 3 (1917): 209–28. https://doi.org/10.2307/2713765. Matthew Spooner, “‘I know This Scheme is from God:’ Toward a Reconsideration of the Origins of the American Colonization Society,” Slavery & Abolition 35, no. 4 (2013): 559–75. https://doi.org/10.1080/0144039x.2013.847223."
1818,10,CT,Connecticut’s new constitution specifically bans African-Americans from voting,CT,"According to data from the Library of Congress, the Framers of the Constitution left details of voting to the states: “The times, places and manner of holding elections for Senators and Representatives, shall be prescribed in each state by the legislature thereof; but the Congress may at any time by law make or alter such regulations.” Unfortunately, allowing various states to manage elections resulted in unfair voting practices in the United States. For example, the 1818 Connecticut Constitution states the discriminatory qualifications for electors in Section 2 of Article VI,  “Every white male citizen of the United States who shall have gained a settlement in this state, attained the age of twenty-one years, [...] and have a freehold estate of the yearly value of seven dollars in this state.”, indirectly excluding African Americans, women, Native Americans, and non-English speakers."
1820,,SC,South Carolina orders enslavers to seek permission from the state legislature before freeing enslaved people,SC,"According to Donald J. Senese of the Virginia Department of Education, the Act of 1820 required slaveholders within South Carolina to acquire permission from the state legislature before an enslaved person could become legally free. The information drawn from a journal article written by The South Carolina Historical Society states that the act of 1820 was a part of a series of laws passed in order to reduce slaveholders’ rights to free enslaved people, and thus reduce the number of freedpeople. These laws came in response to the rapid growth of free black people, who at the time amounted to 1.36% of the state population, or 6,826 people. Senese, Donald J. “The Free Negro and the South Carolina Courts, 1790-1860.” The South Carolina Historical Magazine 68, no. 3 (1967): 140–53. http://www.jstor.org/stable/27566828."
1822,12,SC,South Carolina requires all free Black males older than 15 years old to take a white guardian or be sold into slavery,SC,"Bernard Powers’ article addition to the South Carolina Encyclopedia titled “Free Persons of Color,” in the 2016 online edition, gives an overview of the Denmark Vesey-inspired attempt at an insurrection against whites in South Carolina and the planned destruction in Charlestown in 1822. Due to the atmosphere of insecurity and fear after the attempted insurrection, Hamilton succeeded in convincing the legislature at the close of 1822 to rule that all free blacks above 15 had to have white guardians to monitor their movements and additionally, free blacks leaving the state and attempting to return would be subject to fines and enslavement. The result was that for a period, free black residents in South Carolina experienced a reversal of their liberties, such as they were before Vessey’s failed insurrection. Powers, Bernard E., Jr. ""Free Persons of Color 1670–1863."" In South Carolina Encyclopedia. University of South Carolina, Institute for Southern Studies, 2016. Last modified May 17, 2016. Accessed December 1, 2022  https://www.scencyclopedia.org/sce/entries/free-persons-of-color/ Ford, Lacy, “An Interpretation of the Denmark Vesey Insurrection Scare,” The Proceedings of The South Carolina Historical Association 2012, The South Carolina Historical Association Department of History, The Citadel, Charleston, South Carolina, accessed November 30, 2022, https://dc.statelibrary.sc.gov/bitstream/handle/10827/23863/SCHA_Proceedings_2012.pdf. "
1830,,CT,"Connecticut: 25 enslaved people, 8,000 free Blacks",CT,"From the mid-1780s to 1830, Connecticut legislators and vocal abolitionists of the time, such as Jonathan Edwards Jr. and Theodore Dwight, facilitated the emancipation of thousands of enslaved people, resulting in a majority of free black people and a smaller number of enslaved black people. After Connecticut legislation was passed in 1784 enabling children born from an enslaved mother to become free at the age of 25, a clear increase to more than 5,000 free black people appears roughly 25 years later, when the children become of age to claim their freedom. Of course, the self-emancipating efforts of enslaved people significantly contributed to this development. As black citizens continued advocating for rapid emancipation, according to US Census data, the number of enslaved people dropped to 97 by 1820 and 17 by 1840.  In 1832, there was only 1 enslaved person in Hartford County, where the Loomis and Chaffee families resided at the time. The freed people have accustomed to life beyond slavery, obtaining jobs such as tailors, dyers of cloth, mariners, tradesmen, and domestic workers. Some even went on to become business owners and landowners. Black women had jobs such as seamstresses, cooks, and servants.  Woodward, Walter W. “From the State Historian: Connecticut's Slow Steps Toward Emancipation.” Connecticut History, October 3, 2022. https://connecticuthistory.org/from-the-state-historian-connecticuts-slow-steps-toward-emancipation/#:~:text=Connecticut%20chose%20to%20emancipate%20its,reached%20the%20age%20of%2025.  “1830 Census Records.” National Archives and Records Administration. National Archives and Records Administration. Accessed December 4, 2022. https://www.archives.gov/research/census/1830. “Slavery in Connecticut Teacher Appendix - Fairfieldhistory.org.” Accessed December 5, 2022. https://www.fairfieldhistory.org/wp-content/uploads/SlaveryinCT_Appendix.pdf. "
1831,8,USA,Nat Turner's rebellion,USA,"In “Nat Turner’s Rebellion as a Process of Conversion,” Drexler-Dreis emphasizes that enslaved people, especially Nat Turner, relied on God for their insurrection. Nat Turner and many other enslaved people converted to Christianity; therefore, they utilized their belief in Christianity as the motive for their uprising against white plantation owners in Virginia in 1831. As a result of Nat Turner’s unsuccessful revolt, Virginia and many Southern States legislated stricter laws and penalties against enslaved people and free African Americans, which expedited the incoming of the American Civil War in 1861. Drexler-Dreis, Joseph. “Nat Turner’s Rebellion as a Process of Conversion.” Black Theology: An International Journal 12, no. 3 (November 2014): 230–50. https://search.ebscohost.com/login.aspxdirect=true&db=aph&AN=99541255&site=ehost-live&scope=site. Schafer, Judith Kelleher. “The Immediate Impact of Nat Turner’s Insurrection on New Orleans.” Louisiana History: The Journal of the Louisiana Historical Association 21, no. 4 (1980): 361–76. http://www.jstor.org/stable/4232038. "
1832,,CT,"Black student Charles Ray enrolls at Wesleyan University, agrees to leave after pressure",CT,"A passage from Leon F. Litwack’s North of Slavery: The Negro in the Free States, 1790-1860 illuminates the academic journey of Charles B. Ray, the first black man to attend Wesleyan University in 1832. Ray’s time at Wesleyan culminated in his eventual decision to leave as a result of the backlash on the University from both Northern and Southern students. The University, which was still a new institution, was reliant on the support of both the Northerners and Southerners; therefore it complied with the demands of the students in order to maintain the fortification of the white students. Charles B. Ray’s experience at Wesleyan University reveals that racism in Connecticut wasn’t minor as often assumed; rather, racism was still prominent at this time in Connecticut. Litwack, Leon F. North of Slavery. the Negro in the Free States, 1790-1860. 7th Chicago: Univ. of Chicago Pr., 1971, 117. https://hdl.handle.net/2027/heb02337.0001.001. "
1832,,USA,"Textile companies make up 88 out of 106 American corporations valued at over $100,000. ",USA,"By 1832, 88 out of the 106 American corporations valued at over $100,000 were textile factories supported by both free labor in the north and exploited cotton from plantations in the south. These factories sourced their raw materials from slave plantations, which, according to American Yawp, increased their exports 150,000 bales in 1815 to 4,541,000 bales in 1859. Because of the unethical origins of these materials used, the clothing industry became silent supporters of the slavery practices in the United States. Scranton, Philip. Proprietary Capitalism: The Textile Manufacture at Philadelphia, 1800–1885 New York: Cambridge University Press, 1983. Arehart, Kelly. “The Market Revolution.” The American Yawp, June 7, 2013. https://www.americanyawp.com/text/08-the-market-revolution/"
1833,,USA,"William Lloyd Garrison forms the American Anti-Slavery Society, the largest abolitionist society in the US",USA,"William Lloyd Garrison was a prominent advocate for the emancipation of enslaved people who, according to the data from the National Abolition Hall of Fame and Museum, created the largest abolitionist society in the United States – the American Anti- Slavery Society– with over 1,350 local chapters and 250,000 members. Garrison inspired many generations with his brave actions for equal rights for Black people, like setting fire to a copy of the U.S. Constitution because it permitted slavery, according to James Williford’s journal article, “The Agitator: William Lloyd Garrison and the Abolitionists.” Moreover, he was also the founder of The Liberator, an anti-slavery newspaper, and he inspired young generations with his unrivaled example of personal journalism in the service of civic idealism for 35 years. Bibliography James, Williford. “The Agitator: William Lloyd Garrison and the Abolitionists.” The Journal of Humanities, Vol. 34 Issue 1, p24-27. 4p. Jan/Feb 2013. https://web.p.ebscohost.com/ehost/detail/detail?vid=5&sid=06beb31c-4bfb-4b76-ab44-681e207dab97%40redis&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=849760 32&db=aph Mayer, Henry. “William Lloyd Garrison: The Undisputed Master of the Cause of Negro Liberation.” The Journal of Blacks in Higher Education, no. 23 (1999): 105–9. https://doi.org/10.2307/2999331. “William Lloyd Garrison.” National Abolition Hall of Fame and Museum. Accessed December 2, 2022. https://www.nationalabolitionhalloffameandmuseum.org/william-lloyd-garrison.html. "
1836,,USA,"The U.S. House of Representatives bans discussion of slavery with its ""gag rule""",USA,"According to Scott R. Meinke, the “gag rule” of 1836 prevented and restricted any conversation in the House of Representatives that concerned the abolition of slavery and related matters. Due to this, the House of Representatives received countless petitions concerning the end of slavery. According to Meinke, the rule was recognized by President John Quincy Adams and other members of the Whig party; they believed the rule infringed on the ideas in the Declaration of Independence, and, due to this opposition in the House of Representatives, the “gag rule” was repealed in 1844. Meinke, Scott R. ""Slavery, Partisanship, and Procedure in the U. S. House: The Gag Rule, 1836-1845."" Legislative Studies Quarterly 32, no. 1 (2007): 33–57. http://www.jstor.org/stable/40263409"
1848,,CT,"Connecticut entirely abolishes slavery, the last New England State to do so, but requires race on marriage licenses and bans Black individuals from voting ",CT,"According to The Yale Law Journal by David Menschel, Connecticut chose a slower approach to pursue an equitable society while avoiding social unrest by passing the Gradual Abolition Act in 1784, manumitting the children of enslaved persons which freed the last Connecticut slave in 1848. Despite taking the first step towards racial equality, Connecticut held on to its past of discrimination and oppression by requiring citizens to state their race on marriage licenses, voting registration, and several other personal legal documents. Data presented by the Brennan Center for Justice suggests these laws led Connecticut to continue its practice of racial segregation into the Jim Crow era and even today. Menschel, David. “Abolition without Deliverance: The Law of Connecticut Slavery 1784-1848.” The Yale Law Journal 111, no. 1 (2001): 183–222. https://doi.org/10.2307/797518 Links to an external site. “Voter Suppression in 2020.” Brennan Center for Justice, November 17, 2022. https://www.brennancenter.org/our-work/research-reports/voter-suppression-2020."
1850,,SC,South Carolina: enslaved people account for 57.6% of the state's population.,SC,"According to government data made available through the seventh U.S. Bureau of the Census, 384,984 of the total 668,507 individuals living in South Carolina in 1850 were enslaved. The Charleston Voices project draws from the 1850 demography, stating that enslaved individuals accounted for 57.6% of the state’s population. In comparison with other U.S. states at the time, South Carolina’s ratio of enslaved people to the total population was the highest. ""Slave Population of the United States."" Chart. 1850. Accessed December 1, 2022. https://www2.census.gov/library/publications/decennial/1850/1850c/1850c-04.pdf. ""Statistics of South Carolina."" Chart. 1850. Accessed December 1, 2022. https://www2.census.gov/library/publications/decennial/1850/1850a/1850a-30.pdf.  ""Stories of Change."" Voices. Accessed December 1, 2022. https://www.africanamericancharleston.com/timeline/antebellum/. "
